name,description
XHTML,XHTML—eXtensible Hypertext Markup Language
XILP,XILP—X Interactive ListProc
XML,XML—eXtensible Markup Language
XMMS,XMMS—X Multimedia System
XMPP,XMPP—eXtensible Messaging and Presence Protocol
XMS,XMS—Extended Memory Specification
XNS,XNS—Xerox Network Systems
XP,XP—Cross-Platform
XP,XP—Extreme Programming
XPCOM,XPCOM—Cross Platform Component Object Model
XPI,XPI—XPInstall
XPIDL,XPIDL—Cross-Platform IDL
XPS,XPS—XML Paper Specification
XSD,XSD—XML Schema Definition
XSL,XSL—eXtensible Stylesheet Language
XSL-FO,XSL-FO—eXtensible Stylesheet Language Formatting Objects
XSLT,XSLT—eXtensible Stylesheet Language Transformations
XSS,XSS—Cross-Site Scripting
XTF,XTF—eXtensible Tag Framework
XTF,XTF—eXtended Triton Format
XUL,XUL—XML User Interface Language
XVGA,XVGA—Extended Video Graphics Adapter
Y2K,Y2K—Year Two Thousand
YAAF,YAAF—Yet Another Application Framework
YACC,YACC—Yet Another Compiler Compiler
YAGNI,YAGNI—You Aren't Gonna Need It
YAML,YAML—YAML Ain't Markup Language
YARN,YARN—Yet Another Resource Negotiator
YaST,YaST—Yet another Setup Tool
ZCAV,ZCAV—Zone Constant Angular Velocity
ZCS,ZCS—Zero Code Suppression
ZIF,ZIF—Zero Insertion Force
ZIFS,ZIFS—Zero Insertion Force Socket
ZIP,ZIP—ZIP file archive
ZISC,ZISC—Zero Instruction Set Computer
ZOI,ZOI—Zero One Infinity
ZOPE,ZOPE—Z Object Publishing Environment
ZMA,ZMA—Zone Multicast Address
ZPL,ZPL—Z-level Programming Language
